Customer ID,Total_Revenue,Total_Orders,CLV,CLV_Segment
12346.0,77556.46,12,77556.46,VIP
12347.0,5633.32,8,5633.32,VIP
12348.0,2019.3999999999999,5,2019.3999999999999,High Value
12349.0,4428.6900000000005,4,4428.6900000000005,VIP
12350.0,334.40000000000003,1,334.40000000000003,Low Value
12351.0,300.93,1,300.93,Low Value
12352.0,2849.84,10,2849.84,VIP
12353.0,406.76,2,406.76,Medium Value
12354.0,1079.4,1,1079.4,High Value
12355.0,947.61,2,947.61,High Value
12356.0,6373.68,6,6373.68,VIP
12357.0,18287.66,3,18287.66,VIP
12358.0,3887.07,5,3887.07,VIP
12359.0,8935.94,10,8935.94,VIP
12360.0,4252.89,8,4252.89,VIP
12361.0,511.25,4,511.25,Medium Value
12362.0,5356.2300000000005,11,5356.2300000000005,VIP
12363.0,552.0,2,552.0,Medium Value
12364.0,1313.1,4,1313.1,High Value
12365.0,641.38,2,641.38,Medium Value
12366.0,500.24,1,500.24,Medium Value
12367.0,168.9,1,168.9,Low Value
12368.0,917.7,1,917.7,High Value
12369.0,1791.15,3,1791.15,High Value
12370.0,4320.31,7,4320.31,VIP
12371.0,4067.38,5,4067.38,VIP
12372.0,1298.04,3,1298.04,High Value
12373.0,1127.65,3,1127.65,High Value
12374.0,2989.2200000000003,4,2989.2200000000003,VIP
12375.0,457.5,2,457.5,Medium Value
12376.0,503.15,2,503.15,Medium Value
12377.0,3426.32,4,3426.32,VIP
12378.0,5416.32,2,5416.32,VIP
12379.0,1620.22,4,1620.22,High Value
12380.0,9676.300000000001,11,9676.300000000001,VIP
12381.0,1845.31,5,1845.31,High Value
12383.0,1850.56,5,1850.56,High Value
12384.0,585.27,2,585.27,Medium Value
12385.0,1938.4,1,1938.4,High Value
12386.0,660.8000000000001,2,660.8000000000001,Medium Value
12387.0,143.94,1,143.94,Low Value
12388.0,3901.11,8,3901.11,VIP
12389.0,1433.33,3,1433.33,High Value
12390.0,549.84,1,549.84,Medium Value
12391.0,2773.42,6,2773.42,VIP
12392.0,234.75000000000003,1,234.75000000000003,Low Value
12393.0,2399.45,6,2399.45,VIP
12394.0,1272.48,2,1272.48,High Value
12395.0,5067.27,15,5067.27,VIP
12396.0,931.4300000000001,1,931.4300000000001,High Value
12397.0,2409.9,2,2409.9,VIP
12398.0,1635.6599999999999,1,1635.6599999999999,High Value
12399.0,1962.3,7,1962.3,High Value
12400.0,205.25,1,205.25,Low Value
12401.0,84.3,1,84.3,Low Value
12402.0,1256.9,6,1256.9,High Value
12403.0,1019.36,2,1019.36,High Value
12404.0,63.24,1,63.24,Low Value
12405.0,1710.39,1,1710.39,High Value
12406.0,6390.36,5,6390.36,VIP
12407.0,1708.12,5,1708.12,High Value
12408.0,4340.77,8,4340.77,VIP
12409.0,23419.29,7,23419.29,VIP
12410.0,1013.71,3,1013.71,High Value
12411.0,346.9,1,346.9,Low Value
12412.0,2596.93,6,2596.93,VIP
12413.0,999.45,4,999.45,High Value
12414.0,952.4100000000001,6,952.4100000000001,High Value
12415.0,144458.37,28,144458.37,VIP
12416.0,202.56,1,202.56,Low Value
12417.0,6816.91,20,6816.91,VIP
12418.0,2021.2,4,2021.2,High Value
12419.0,503.01,2,503.01,Medium Value
12420.0,600.39,1,600.39,Medium Value
12421.0,1098.6,6,1098.6,High Value
12422.0,5231.8,17,5231.8,VIP
12423.0,2622.39,10,2622.39,VIP
12424.0,3340.0299999999997,4,3340.0299999999997,VIP
12425.0,1741.41,2,1741.41,High Value
12426.0,1345.21,2,1345.21,High Value
12427.0,1129.3,3,1129.3,High Value
12428.0,7956.46,9,7956.46,VIP
12429.0,7485.91,8,7485.91,VIP
12430.0,256.4,1,256.4,Low Value
12431.0,10857.970000000001,27,10857.970000000001,VIP
12432.0,5059.32,5,5059.32,VIP
12433.0,20581.260000000002,10,20581.260000000002,VIP
12434.0,1103.43,3,1103.43,High Value
12435.0,13925.93,6,13925.93,VIP
12436.0,509.01,1,509.01,Medium Value
12437.0,12683.4,39,12683.4,VIP
12438.0,2906.85,2,2906.85,VIP
12439.0,1158.18,2,1158.18,High Value
12440.0,859.2,2,859.2,Medium Value
12441.0,347.1,1,347.1,Low Value
12442.0,172.06,1,172.06,Low Value
12443.0,485.31,1,485.31,Medium Value
12444.0,5005.46,5,5005.46,VIP
12445.0,434.98,2,434.98,Medium Value
12446.0,1002.3100000000001,1,1002.3100000000001,High Value
12447.0,476.49,1,476.49,Medium Value
12448.0,449.45,1,449.45,Medium Value
12449.0,4835.89,6,4835.89,VIP
12450.0,688.2,5,688.2,Medium Value
12451.0,12669.88,8,12669.88,VIP
12452.0,430.57000000000005,2,430.57000000000005,Medium Value
12453.0,707.09,1,707.09,Medium Value
12454.0,16679.78,5,16679.78,VIP
12455.0,5879.95,10,5879.95,VIP
12456.0,3181.04,3,3181.04,VIP
12457.0,2995.91,8,2995.91,VIP
12458.0,1777.49,4,1777.49,High Value
12459.0,454.36,1,454.36,Medium Value
12460.0,326.65,1,326.65,Low Value
12461.0,826.88,2,826.88,Medium Value
12462.0,1189.59,2,1189.59,High Value
12463.0,1344.78,4,1344.78,High Value
12464.0,1212.05,8,1212.05,High Value
12465.0,742.19,2,742.19,Medium Value
12466.0,56.73,1,56.73,Low Value
12467.0,132.8,1,132.8,Low Value
12468.0,3670.7400000000002,5,3670.7400000000002,VIP
12469.0,3070.54,2,3070.54,VIP
12470.0,211.95,1,211.95,Low Value
12471.0,39963.79,79,39963.79,VIP
12472.0,17880.59,19,17880.59,VIP
12473.0,3938.55,5,3938.55,VIP
12474.0,12424.45,31,12424.45,VIP
12475.0,1149.64,2,1149.64,High Value
12476.0,14115.41,23,14115.41,VIP
12477.0,20276.37,9,20276.37,VIP
12478.0,680.99,1,680.99,Medium Value
12479.0,527.2,1,527.2,Medium Value
12480.0,5464.85,7,5464.85,VIP
12481.0,12361.39,15,12361.39,VIP
12482.0,23691.4,29,23691.4,VIP
12483.0,5120.58,19,5120.58,VIP
12484.0,6370.15,12,6370.15,VIP
12485.0,708.1,1,708.1,Medium Value
12486.0,1037.28,1,1037.28,High Value
12487.0,285.3,1,285.3,Low Value
12488.0,1298.66,3,1298.66,High Value
12489.0,334.93,1,334.93,Low Value
12490.0,9823.64,21,9823.64,VIP
12491.0,460.40000000000003,1,460.40000000000003,Medium Value
12492.0,715.21,3,715.21,Medium Value
12493.0,433.74,2,433.74,Medium Value
12494.0,1872.8700000000001,9,1872.8700000000001,High Value
12495.0,357.4,1,357.4,Medium Value
12496.0,54.09,2,54.09,Low Value
12497.0,6248.5,3,6248.5,VIP
12498.0,403.70000000000005,3,403.70000000000005,Medium Value
12499.0,393.72,1,393.72,Medium Value
12500.0,5955.21,19,5955.21,VIP
12501.0,2169.39,1,2169.39,High Value
12502.0,3723.87,5,3723.87,VIP
12503.0,1126.0,1,1126.0,High Value
12504.0,779.05,4,779.05,Medium Value
12505.0,955.2,1,955.2,High Value
12506.0,73.5,1,73.5,Low Value
12507.0,1844.06,4,1844.06,High Value
12508.0,398.27,2,398.27,Medium Value
12509.0,176.5,1,176.5,Low Value
12510.0,5178.02,9,5178.02,VIP
12511.0,3084.02,1,3084.02,VIP
12512.0,138.03,2,138.03,Low Value
12513.0,612.29,1,612.29,Medium Value
12514.0,1597.76,2,1597.76,High Value
12515.0,383.7,1,383.7,Medium Value
12516.0,2648.62,4,2648.62,VIP
12517.0,2502.84,5,2502.84,VIP
12518.0,2056.89,5,2056.89,High Value
12519.0,726.54,2,726.54,Medium Value
12520.0,2634.26,5,2634.26,VIP
12521.0,599.68,1,599.68,Medium Value
12522.0,192.72,2,192.72,Low Value
12523.0,4372.15,23,4372.15,VIP
12524.0,11126.11,17,11126.11,VIP
12525.0,973.73,3,973.73,High Value
12526.0,1316.66,3,1316.66,High Value
12527.0,735.51,5,735.51,Medium Value
12528.0,1933.48,6,1933.48,High Value
12529.0,316.48,1,316.48,Low Value
12530.0,3759.26,9,3759.26,VIP
12531.0,1933.2,2,1933.2,High Value
12532.0,349.83000000000004,1,349.83000000000004,Medium Value
12533.0,1367.89,2,1367.89,High Value
12534.0,1089.18,1,1089.18,High Value
12535.0,716.35,2,716.35,Medium Value
12536.0,12601.830000000002,3,12601.830000000002,VIP
12537.0,732.94,1,732.94,Medium Value
12538.0,640.45,2,640.45,Medium Value
12539.0,11214.75,7,11214.75,VIP
12540.0,22254.49,33,22254.49,VIP
12541.0,981.18,3,981.18,High Value
12542.0,481.88,2,481.88,Medium Value
12543.0,980.25,1,980.25,High Value
12544.0,372.7,1,372.7,Medium Value
12545.0,1000.39,2,1000.39,High Value
12546.0,1161.5,2,1161.5,High Value
12547.0,383.58,3,383.58,Medium Value
12548.0,95.19999999999999,1,95.19999999999999,Low Value
12549.0,1575.68,6,1575.68,High Value
12550.0,964.83,1,964.83,High Value
12551.0,168.0,1,168.0,Low Value
12552.0,437.82,2,437.82,Medium Value
12553.0,4608.75,12,4608.75,VIP
12554.0,468.5,1,468.5,Medium Value
12555.0,129.23,1,129.23,Low Value
12556.0,603.71,2,603.71,Medium Value
12557.0,18716.14,8,18716.14,VIP
12558.0,269.96,1,269.96,Low Value
12559.0,561.71,2,561.71,Medium Value
12560.0,2134.01,3,2134.01,High Value
12561.0,238.85,1,238.85,Low Value
12562.0,4966.92,9,4966.92,VIP
12563.0,249.24,1,249.24,Low Value
12564.0,456.90000000000003,1,456.90000000000003,Medium Value
12565.0,145.92000000000002,1,145.92000000000002,Low Value
12566.0,351.65,1,351.65,Medium Value
12567.0,13709.86,15,13709.86,VIP
12568.0,70.0,1,70.0,Low Value
12569.0,4124.6900000000005,32,4124.6900000000005,VIP
12570.0,77.52,1,77.52,Low Value
12571.0,519.61,2,519.61,Medium Value
12572.0,1020.4200000000001,2,1020.4200000000001,High Value
12573.0,717.41,5,717.41,Medium Value
12574.0,218.45000000000002,1,218.45000000000002,Low Value
12575.0,622.82,2,622.82,Medium Value
12576.0,2142.7200000000003,8,2142.7200000000003,High Value
12577.0,1653.75,8,1653.75,High Value
12578.0,4642.45,4,4642.45,VIP
12579.0,440.42,1,440.42,Medium Value
12580.0,1052.9,2,1052.9,High Value
12581.0,197.71,1,197.71,Low Value
12582.0,1980.4,4,1980.4,High Value
12583.0,14447.44,27,14447.44,VIP
12584.0,2338.15,9,2338.15,VIP
12585.0,2040.1,2,2040.1,High Value
